token,err
br17_3,0.00000001
br17_4,0.00000002
br17_5,0.00050003
br17_6,0.00000010
br17_7,0.00050008
br17_8,0.00100014
br17_9,0.00200014
br17_10,0.00200025
br17_11,0.00700025
br17_12,0.01000042
br17_13,0.02350029
br17_14,0.03549991
br17_15,0.04999950
br17_16,0.04249986
br17_17,0.04799986
br17_18,0.03599970
br17_19,0.05149982
br17_20,0.00000000
br17_21,0.00000000
br17_22,0.00000000
br17_23,0.00000000
br17_24,0.00000000
br17_25,0.00000000
br17_26,0.00000000
br17_27,0.00000000
br17_28,0.00000000
br17_29,0.00000000
br17_30,0.00000000
br17_31,0.00000000
br18_0,0.00000000
br18_1,0.00000000
br18_2,0.00000000
br18_3,0.00000001
br18_4,0.00000002
br18_5,0.00000004
br18_6,0.00000009
br18_7,0.00000014
br18_8,0.00050015
br18_9,0.00050018
br18_10,0.00300032
br18_11,0.00700034
br18_12,0.01450034
br18_13,0.02950009
br18_14,0.04899975
br18_15,0.05449981
br18_16,0.05699973
br18_17,0.01849990
br18_18,0.05899970
br18_19,0.00000000
br18_20,0.00000000
br18_21,0.00000000
br18_22,0.00000000
br18_23,0.00000000
br18_24,0.00000000
br18_25,0.00000000
br18_26,0.00000000
br18_27,0.00000000
br18_28,0.00000000
br18_29,0.00000000
br18_30,0.00000000
br18_31,0.00000000
br19_0,0.11049733
br20_0,0.12849698
br21_0,0.00000000
br21_1,0.00000000
br21_2,0.00000000
br21_3,0.00000000
br21_4,0.00000000
br21_5,0.00000000
br21_6,0.00000000
br21_7,0.00000000
br21_8,0.00000000
br21_9,0.00000000
br21_10,0.00000000
br21_11,0.00000000
br21_12,0.00000000
br21_13,0.00000000
br21_14,0.00000000
br21_15,0.00000001
br21_16,0.00000000
br21_17,0.00000001
br21_18,0.00000002
br21_19,0.00000001
br21_20,0.00000003
br21_21,0.00000006
br21_22,0.00050008
br21_23,0.00000014
br21_24,0.00050021
br21_25,0.00150031
br21_26,0.00200055
br21_27,0.00450063
br21_28,0.01200057
br21_29,0.03100039
br21_30,0.06549922
br21_31,0.12649686
br22_0,0.00000000
br22_1,0.00000000
br22_2,0.00000000
br22_3,0.00000000
br22_4,0.00000000
br22_5,0.00000000
br22_6,0.00000000
br22_7,0.00000000
br22_8,0.00000000
br22_9,0.00000000
