token,size,bit,cluster,score
br7,32,1,0,2.7918
br7,32,3,0,2.7918
br21,32,25,0,3.0986
br5,32,25,0,3.0986
br16,32,8,0,4.1972
br22,32,24,0,4.1972
br3,32,8,0,4.1972
br1,32,15,0,4.4849
br1,32,16,0,4.4849
br10,32,15,0,4.4849
br10,32,16,0,4.4849
br11,32,15,0,4.4849
br12,32,16,0,4.4849
br23,32,23,0,5.1781
br28,31,25,0,5.1972
br4,32,25,0,5.1972
br22,32,26,0,5.2047
br14,32,6,0,5.4998
br17,32,10,0,5.4998
br6,32,10,0,5.4998
br8,32,6,0,5.4998
br23,32,18,0,5.5835
br23,32,19,0,5.5835
br12,32,17,0,6.3175
br11,32,16,0,6.5835
br18,32,9,0,6.5835
br2,32,9,0,6.5835
br0,32,17,0,6.8067
br1,32,17,0,6.8067
br10,32,17,0,6.8067
br9,32,17,0,6.8067
br15,32,5,0,6.9890
br7,32,5,0,6.9890
br1,32,18,0,7.3944
br10,32,18,0,7.3944
br16,32,10,0,7.5984
br3,32,10,0,7.5984
br23,32,16,0,7.6937
br18,32,8,0,9.7238
br2,32,8,0,9.7238
br15,32,4,0,10.1293
br23,32,21,0,10.1293
br7,32,4,0,10.1293
br11,32,17,0,10.4085
br22,32,30,0,10.6440
br23,32,17,0,11.8718
br28,31,23,0,12.0493
br4,32,23,0,12.0493
br23,32,22,0,12.7252
br15,32,6,0,12.7424
br7,32,6,0,12.7424
br18,32,11,0,13.0493
br2,32,11,0,13.0493
br23,32,24,0,13.3005
br14,32,8,0,13.4622
br8,32,8,0,13.4622
br14,32,9,0,13.7540
br18,32,10,0,13.7540
br2,32,10,0,13.7540
br8,32,9,0,13.7540
br11,32,18,0,13.7806
br15,32,7,0,15.1479
br7,32,7,0,15.1479
br21,32,26,0,15.1861
br5,32,26,0,15.1861
br28,31,26,0,15.4663
br4,32,26,0,15.4663
br13,32,9,0,16.2152
br12,32,18,0,16.6091
br0,32,18,0,17.6852
br9,32,18,0,17.6852
br16,32,12,0,17.9471
br17,32,12,0,17.9471
br3,32,12,0,17.9471
br6,32,12,0,17.9471
br22,32,27,0,18.5069
br23,32,25,0,18.6842
br22,32,29,0,18.7231
br21,32,27,0,18.8411
br5,32,27,0,18.8411
br15,32,8,0,19.2422
br7,32,8,0,19.2422
br28,31,24,0,19.4209
br4,32,24,0,19.4209
br22,32,28,0,20.8740
br1,32,19,0,21.1893
br10,32,19,0,21.1893
br28,31,27,0,23.7683
br4,32,27,0,23.7683
br23,32,26,0,25.0031
br13,32,11,0,25.5860
br28,31,28,0,28.3728
br4,32,28,0,28.3728
br13,32,10,0,29.7952
br21,32,28,0,30.7277
br5,32,28,0,30.7277
br18,32,12,0,32.1633
br2,32,12,0,32.1633
br18,32,17,0,32.6212
br2,32,17,0,32.6212
br11,32,19,0,33.2584
br0,32,19,0,35.5982
br9,32,19,0,35.5982
br11,32,30,0,37.1991
br12,32,30,0,37.1991
br17,32,13,0,44.4030
br6,32,13,0,44.4030
br16,32,13,0,46.5016
br3,32,13,0,46.5016
br12,32,19,0,47.2877
br15,32,9,0,47.5998
br7,32,9,0,47.5998
br0,32,20,0,51.7014
br9,32,20,0,51.7014
br18,32,13,0,53.2296
br2,32,13,0,53.2296
br23,32,27,0,56.5350
br14,32,10,0,57.9317
br8,32,10,0,57.9317
br13,32,12,0,60.4802
br16,32,18,0,60.6264
br3,32,18,0,60.6264
br16,32,14,0,64.6545
br3,32,14,0,64.6545
br1,32,20,0,66.3393
br10,32,20,0,66.3393
br23,32,28,0,66.4020
br17,32,14,0,66.7531
br6,32,14,0,66.7531
br16,32,16,0,66.8476
br3,32,16,0,66.8476
br14,32,11,0,67.3736
br8,32,11,0,67.3736
br16,32,17,0,68.7332
br3,32,17,0,68.7332
br17,32,18,0,73.5949
br6,32,18,0,73.5949
br28,31,29,0,74.0891
br4,32,29,0,74.0891
br11,32,25,0,74.2471
br15,32,10,0,75.7770
br7,32,10,0,75.7770
br18,32,14,0,77.1057
br2,32,14,0,77.1057
br11,32,20,0,77.3204
br16,32,15,0,77.7336
br3,32,15,0,77.7336
br15,32,12,0,78.9069
br7,32,12,0,78.9069
br12,32,20,0,80.0866
br14,32,14,0,80.9805
br8,32,14,0,80.9805
br14,32,12,0,81.4440
br8,32,12,0,81.4440
br21,32,29,0,82.4055
br5,32,29,0,82.4055
br17,32,16,0,84.7889
br6,32,16,0,84.7889
br12,32,26,0,85.5785
br28,31,30,0,86.2359
br4,32,30,0,86.2359
br17,32,17,0,88.6096
br6,32,17,0,88.6096
br17,32,15,0,91.5405
br6,32,15,0,91.5405
br13,32,13,0,92.6496
br0,32,21,0,95.0871
br9,32,21,0,95.0871
br12,32,25,0,95.1111
br1,32,21,0,95.4877
br10,32,21,0,95.4877
br15,32,13,0,96.4593
br7,32,13,0,96.4593
br18,32,18,0,96.6797
br2,32,18,0,96.6797
