var,size,bit,cluster,score
cos_theta2,32,8,2,548.6730
cos_theta2_reg,32,8,2,548.6730
xy_sum,32,27,2,548.6905
sin_theta2,32,14,2,548.7186
sin_theta2_reg,32,14,2,548.7186
y_sqr,32,18,2,548.9483
y_sqr_reg,32,18,2,548.9483
part_y,32,26,2,549.1498
part_y_reg,32,26,2,549.1498
cos12,32,12,2,549.2432
cos12_reg,32,12,2,549.2432
cos12,32,14,2,549.3756
cos12_reg,32,14,2,549.3756
x_sqr,32,22,2,549.5424
x_sqr_reg,32,22,2,549.5424
sin12,32,16,2,549.6024
sin12_reg,32,16,2,549.6024
part_1,32,12,2,549.6486
part_1_reg,32,12,2,549.6486
x_sqr,32,26,2,549.7051
x_sqr_reg,32,26,2,549.7051
y_sqr,32,23,2,549.8202
y_sqr_reg,32,23,2,549.8202
theta2_num,32,24,2,549.9495
part_1,32,15,2,550.0263
part_1_reg,32,15,2,550.0263
xy_sum,32,21,2,550.0404
cos12,32,16,2,550.0984
cos12_reg,32,16,2,550.0984
theta2_num,32,26,2,550.3047
theta2_in,32,11,2,550.4524
x_sqr,32,27,2,550.6185
x_sqr_reg,32,27,2,550.6185
cos12,32,17,2,551.1124
cos12_reg,32,17,2,551.1124
theta2_num,32,28,2,551.1554
xy_sum,32,26,2,551.2557
theta2_in,32,15,2,551.4241
theta2_num,32,29,2,551.5435
cos_theta2,32,10,2,551.5699
cos_theta2_reg,32,10,2,551.5699
theta2_num,32,27,2,551.6176
x_sqr,32,25,2,551.7130
x_sqr_reg,32,25,2,551.7130
part_x,32,28,2,551.7853
part_x_reg,32,28,2,551.7853
theta2_num,32,25,2,551.7890
theta2_in,32,16,2,551.7927
sin12,32,15,2,551.8162
sin12_reg,32,15,2,551.8162
cos_theta2,32,11,2,551.8574
cos_theta2_reg,32,11,2,551.8574
x_sqr,32,28,2,551.9684
x_sqr_reg,32,28,2,551.9684
x_sqr,32,29,2,552.2220
x_sqr_reg,32,29,2,552.2220
xy_sum,32,23,2,552.4706
cos12,32,15,2,552.6113
cos12_reg,32,15,2,552.6113
x_sqr,32,21,2,552.6772
x_sqr_reg,32,21,2,552.6772
y_sqr,32,24,2,552.7216
y_sqr_reg,32,24,2,552.7216
sin12,32,18,2,553.0374
sin12_reg,32,18,2,553.0374
theta2_in,32,14,2,553.0855
xy_sum,32,19,2,553.2175
sin_theta2,32,10,2,553.3679
sin_theta2_reg,32,10,2,553.3679
theta2_num,32,20,2,553.4565
xy_sum,32,25,3,554.0534
theta2_in,32,13,3,554.8597
y_sqr,32,28,3,554.8867
y_sqr_reg,32,28,3,554.8867
x_sqr,32,30,3,554.9393
x_sqr_reg,32,30,3,554.9393
xy_sum,32,22,3,555.3943
cos_theta2,32,14,3,555.3954
cos_theta2_reg,32,14,3,555.3954
x_sqr,32,20,3,555.5443
x_sqr_reg,32,20,3,555.5443
theta2_num,32,22,3,555.6342
part_y,32,30,3,555.8326
part_y_reg,32,30,3,555.8326
sin12,32,14,3,556.2343
sin12_reg,32,14,3,556.2343
y_sqr,32,26,3,556.4071
y_sqr_reg,32,26,3,556.4071
theta2_in,32,12,3,556.9508
y_sqr,32,29,3,557.4905
y_sqr_reg,32,29,3,557.4905
y_sqr,32,20,3,557.5270
y_sqr_reg,32,20,3,557.5270
xy_sum,32,20,3,557.7104
theta2_num,32,19,3,558.2488
x_sqr,32,23,3,558.6380
x_sqr_reg,32,23,3,558.6380
x_sqr,32,24,3,559.5869
x_sqr_reg,32,24,3,559.5869
y_sqr,32,21,3,559.8803
y_sqr_reg,32,21,3,559.8803
xy_sum,32,24,3,560.0705
x_sqr,32,19,3,561.2253
x_sqr_reg,32,19,3,561.2253
y_sqr,32,22,3,561.7105
y_sqr_reg,32,22,3,561.7105
xy_sum,32,28,3,561.9428
xy_sum,32,29,3,562.7939
part_1,32,19,3,563.1068
part_1_reg,32,19,3,563.1068
y_sqr,32,30,3,565.6888
y_sqr_reg,32,30,3,565.6888
signed_bit,1,0,3,569.2925
xy_sum,32,30,4,589.1829
part_y,32,31,4,598.0993
part_y_reg,32,31,4,598.0993
theta1_in,32,31,5,630.6331
theta1_num,32,31,5,630.6331
part_x,32,31,6,675.1688
part_x_reg,32,31,6,675.1688
